Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C,proteinID
1.502,1.0074,1.21365,0.9117,0.8807,0.92995,0.8871,1.00435,1.3902,0.60695,0.5277,0.53205,CHOYP_ISCW_ISCW005596.1.1|m.60561
19.19915,24.37415,38.23345,19.9138,51.2039,38.3274,32.3389,36.4845,40.6951,37.6706,45.40025,18.7538,CHOYP_ISCW_ISCW005651.1.1|m.49000
3.01495,4.6018,5.54355,4.85085,4.02295,3.54185,3.3856,3.83355,3.5638,1.6878,4.26805,4.41475,CHOYP_ISCW_ISCW005791.1.1|m.53514
9.29345,9.39235,11.352,16.9995,24.65365,12.9925,16.64905,23.4732,12.96075,10.33455,13.0668,13.52715,CHOYP_ISCW_ISCW006091.2.2|m.61313
1.2275,0.46555,1.4883,2.6037,2.16115,1.8989,1.8172,1.23685,1.9129,2.7222,1.53585,2.3696,CHOYP_ISCW_ISCW006831.1.1|m.23820
203.3484,182.4324,168.62695,161.8741,173.3111,132.84025,143.62965,143.7017,147.39745,175.48715,152.45045,205.24355,CHOYP_ISCW_ISCW008219.1.2|m.46822
2.8802,2.2419,3.247,3.0468,3.5335,3.52415,3.95565,4.0307,3.1074,4.697,3.96285,1.93885,CHOYP_ANR17.1.2|m.772
0,5.7562,0,5.2221,0,0,0,0,0,0,0,5.48655,CHOYP_ISCW_ISCW008316.1.3|m.11997
29.8829,34.79565,32.3838,35.86165,29.0396,36.5031,36.1365,34.77545,35.08695,29.59325,36.8546,36.41605,CHOYP_ISCW_ISCW008555.1.1|m.40873
15.3682,12.4593,7.54625,22.48805,16.32435,11.4845,16.5282,24.8421,26.1178,23.9741,17.3335,14.91885,CHOYP_ISCW_ISCW008596.2.2|m.44077
39.9406,40.40455,33.77465,31.1001,32.67625,40.2367,30.34965,49.6843,46.03005,65.0676,66.57525,47.81155,CHOYP_ISCW_ISCW010143.3.3|m.61542
33.0965,71.36975,76.6192,82.9742,66.7477,91.58245,100.5893,60.93285,89.4915,95.24655,66.6715,60.99135,CHOYP_ISCW_ISCW010532.1.4|m.11493
48.56235,15.3988,0,2.8235,2.75235,0,0,12.23845,0,0,34.1994,35.75055,CHOYP_ISCW_ISCW010532.2.4|m.35454
28.838,29.8381,36.65775,38.3816,34.91995,36.2788,37.3646,37.95575,38.7817,38.369,44.2975,34.06195,CHOYP_ISCW_ISCW011108.1.1|m.13934
10.5013,8.1425,7.5491,7.95375,13.151,8.67385,13.28955,13.74735,9.32885,7.58305,11.71205,4.8136,CHOYP_ISCW_ISCW011341.1.1|m.18728
