proteinID,ClusterID,ClusterColor,19_16,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_FMRF.2.4.m.37051,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.7227,4.95955,5.2287,0.1
CHOYP_GOPC.1.1.m.45489,1,darkslategray1,0.1,1.2157,2.3424,1.258,2.4811,1.3482,3.20455,2.4555,0.1,0.1,0.1,1.3675,2.40735
CHOYP_GPX1.1.4.m.11300,2,black,0.1,0.1,0.1,7.796,4.04305,4.15945,0.1,3.9254,8.3949,4.65995,8.0785,8.42075,11.3886
CHOYP_GSTO1.1.2.m.14745,1,darkslategray1,2.32585,0.1,0.1,2.41045,2.4229,2.5593,6.02825,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_IMSP5.2.2.m.17779,2,black,0.1,0.1,4.1626,0.1,0.1,0.1,28.49935,0.1,4.83285,15.64755,4.60155,47.1473,55.72395
CHOYP_ISCW_ISCW000210.4.4.m.38490,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13.278,31.15555,15.51365
CHOYP_ISCW_ISCW008316.1.3.m.11997,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.48655,5.7562,5.2221
CHOYP_ISCW_ISCW013795.1.1.m.12153,1,darkslategray1,6.8668,5.51635,4.4719,2.42995,5.9022,0.1,0.1,0.1,0.1,1.4311,0.1,0.1,1.1789
CHOYP_KCP.7.13.m.40006,1,darkslategray1,2.3522,0.1,2.31925,4.71005,4.74515,0.1,3.11095,2.3914,0.1,0.1,0.1,0.1,0.1
CHOYP_KPYK.2.4.m.19753,2,black,0.1,0.1,0.1,0.1,8.7561,3.20605,0.1,0.1,12.5491,13.8504,9.0496,6.4033,5.6957
CHOYP_LARP7.1.1.m.35019,1,darkslategray1,0.1,0.8669,0.1,0.1,2.5934,0.95975,2.2456,0.1,0.1,0.1,0.1,0.1,0.88415
CHOYP_LOC100005318.1.1.m.30043,1,darkslategray1,0.1,0.1,0.1,0.1,1.50475,1.5884,1.8958,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100119236.1.1.m.22785,1,darkslategray1,0.1,3.2349,3.2079,0.1,0.1,3.6945,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100119750.1.1.m.7019,1,darkslategray1,1.10895,1.6041,1.14035,1.7081,2.2991,1.20935,0.1,0.1,0.1,0.1,1.7574,0.1,0.59695
CHOYP_LOC100120260.1.1.m.41888,2,black,1.2598,1.20985,0.1,0.1,4.96225,0.1,0.1,2.4985,1.3578,0.1,3.8249,2.66015,6.03165
CHOYP_LOC100123907.1.1.m.2987,1,darkslategray1,83.2243,63.6239,52.27795,76.47595,37.7597,30.92425,49.64275,41.0455,52.92445,0.1,0.1,0.1,37.67485
CHOYP_LOC100205674.1.1.m.5810,2,black,0.1,16.29655,4.2074,4.28265,0.1,0.1,0.1,12.8933,23.1665,20.56175,8.94185,9.45865,25.30455
CHOYP_LOC100222774.1.1.m.56990,1,darkslategray1,2.00585,1.93445,5.70875,2.01275,2.03175,4.30565,1.3531,1.9948,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100367089.1.4.m.1412,1,darkslategray1,9.03425,21.68465,8.67645,0.1,0.1,9.739,0.1,13.7557,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100367137.1.1.m.23977,1,darkslategray1,0.1,9.6848,3.3507,0.1,6.836,0.1,2.9715,0.1,0.1,0.1,0.1,1.2717,0.1
CHOYP_LOC100367535.1.2.m.4730,2,black,0.1,0.1,0.1,0.1,0.1,3.76075,0.1,0.1,3.6887,2.0756,1.82925,5.5675,0.1
CHOYP_LOC100367581.3.3.m.56472,1,darkslategray1,2.7309,2.33975,0.5888,0.61905,0.3566,0.1,1.20785,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100367637.1.1.m.55661,1,darkslategray1,5.1725,4.98375,3.3494,0.1,3.53815,1.9063,4.5822,3.51115,0.1,0.1,0.1,0.1,0.1
CHOYP_LOC100367954.2.2.m.66596,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.73255,0.1,0.1,7.93795,2.47865
