protein,PC1loadings,PC2loadings
CHOYP_IDLC.1.1.m.63624,-0.00346740713569556,0.00165103809416287
CHOYP_IF2A.1.1.m.13279,-0.000315606811498782,-0.00121973211465029
CHOYP_IF2H.1.1.m.18253,0.000929476484849471,0.000128251949278726
CHOYP_ANKY2.2.2.m.44213,-0.00470159176842942,-0.00448438152069383
CHOYP_IF4A3.1.1.m.30424,-0.00309757963894792,0.000341323760062291
CHOYP_IF4E.1.1.m.56823,0.000904511770954153,0.0040579882718688
CHOYP_IF4G2.1.1.m.62766,-0.00648538877087236,0.00360400159866627
CHOYP_IF6.1.1.m.22685,-0.000120055085020049,-0.00100329531905061
CHOYP_IFT140.1.1.m.61053,-0.00284121210830703,0.000114824150408408
CHOYP_IFT57.1.1.m.13249,-0.00968517126812292,0.00277707624065695
CHOYP_IKBZ.1.1.m.23083,0.00294019200337755,-0.000649250728174094
CHOYP_IMA2.2.2.m.49279,-0.0169635461270205,0.0118765060304216
CHOYP_IMDH3.1.1.m.51789,-0.000785160518127145,0.00108885246936337
CHOYP_IMG5_109580.1.1.m.27791,-0.0141141268698596,-0.00898219549946471
CHOYP_ANLN.1.1.m.6530,0.00522496610046872,-0.00749464151382965
CHOYP_IMSP5.1.2.m.5157,-0.0283635505355464,0.042074078748358
CHOYP_INO1A.1.1.m.91,-0.00735507355794373,-0.000186201741841676
CHOYP_INT11.1.1.m.29494,-0.0116088327421595,0.0173327413495172
CHOYP_INT6.1.1.m.13005,-0.00610347766711267,-0.0027062094126365
CHOYP_INT9.1.1.m.11703,-0.00605854254146178,-0.00215632653821085
CHOYP_INVS.2.6.m.8331,0,0
CHOYP_IPO7.1.1.m.16806,-0.000528102523631178,0.00536036712052132
CHOYP_IQCA1.1.3.m.4290,-0.0225713043881674,0.00446569058849351
CHOYP_IQGA1.1.1.m.47731,0.00228488166537369,0.00155383662595728
CHOYP_IRF1.1.3.m.52606,-0.0202118272876604,0.0262553488869413
CHOYP_ANM5.1.1.m.1529,-0.000269467463636144,0.000143192337584736
CHOYP_ISCW_ISCW001487.2.2.m.61505,0.00195291510972558,0.00140958409418159
CHOYP_ISCW_ISCW003928.1.1.m.18079,-0.00396816908592472,-0.0287172065619078
CHOYP_ISCW_ISCW004725.1.1.m.9722,-0.00104150244393497,-0.00523346721286779
CHOYP_ISCW_ISCW005292.1.1.m.11066,-0.00062886618208007,-0.000639175289940327
CHOYP_ISCW_ISCW005596.1.1.m.60561,0.000513460113456048,-0.00146809110493999
CHOYP_ISCW_ISCW005651.1.1.m.49000,-0.0051818456180066,0.00292652163862044
CHOYP_ISCW_ISCW005791.1.1.m.53514,0.00137424149943319,-0.00209636122719494
CHOYP_ISCW_ISCW006091.2.2.m.61313,-0.00472280700722221,0.00194468141038351
CHOYP_ISCW_ISCW006831.1.1.m.23820,-0.00412784402825731,0.00818156056811537
CHOYP_ISCW_ISCW008219.1.2.m.46822,0.00186285459902413,-0.00156331236813742
CHOYP_ANR17.1.2.m.772,-0.00275205947431623,0.00348622770074875
CHOYP_ISCW_ISCW008316.1.3.m.11997,0.0202671757188419,-0.0113061916349789
CHOYP_ISCW_ISCW008555.1.1.m.40873,0.000177375269978584,0.000365817000267653
CHOYP_ISCW_ISCW008596.2.2.m.44077,-0.000669728636496087,0.00523071996521025
CHOYP_ISCW_ISCW010143.3.3.m.61542,0.00100685298356832,0.00163558567733973
CHOYP_ISCW_ISCW010532.1.4.m.11493,-0.00265498224903707,0.00543138901485078
CHOYP_ISCW_ISCW010532.2.4.m.35454,0.0268350074838076,-0.0457302577402048
CHOYP_ISCW_ISCW011108.1.1.m.13934,-0.000669239145617757,0.00253049109751691
CHOYP_ISCW_ISCW011341.1.1.m.18728,-0.00303128268483431,-0.000688736162063381
CHOYP_ISCW_ISCW012010.1.1.m.27251,-0.000209817973377145,0.000126680661503506
CHOYP_ANR40.1.1.m.1429,-0.00792290327173824,-0.0122782724181087
