protein,PC1loadings
CHOYP_LOC100165685.1.1.m.13583,0.0170592499354653
CHOYP_LOC100166353.1.1.m.4625,-0.0102089989880901
CHOYP_LOC100168017.1.1.m.40316,-0.0177473828449406
CHOYP_LOC100168209.1.1.m.26697,-0.00244320400211367
CHOYP_LOC100168368.1.1.m.18551,-0.000153463404754937
CHOYP_LOC100168945.1.1.m.37004,0.00107545775238023
CHOYP_LOC100169229.1.1.m.25981,-0.00337932986431777
CHOYP_LOC100169297.1.1.m.48433,0.00301467820684248
CHOYP_LOC100169460.1.1.m.41302,-0.0100203565139076
CHOYP_LOC100174996.1.1.m.27300,0.00227985137808187
CHOYP_ARI4B.1.1.m.56056,0.00302520294562167
CHOYP_LOC100175722.1.3.m.11427,-0.0168181272502944
CHOYP_LOC100175867.1.1.m.48982,-0.0025094660336184
CHOYP_LOC100176232.1.1.m.24645,-0.00231108681115944
CHOYP_LOC100176799.1.1.m.3132,0.0142034038225101
CHOYP_LOC100177459.1.2.m.48730,-0.00117294056245946
CHOYP_LOC100177679.1.1.m.54177,0.0219203942893638
CHOYP_LOC100178400.1.1.m.4321,-0.0108214204123978
CHOYP_LOC100179300.1.2.m.22734,-0.00170874572399913
CHOYP_LOC100179516.2.2.m.49937,-0.0146564733501325
CHOYP_LOC100180023.4.7.m.33650,0.0108798212074743
CHOYP_ARID3A.1.1.m.55743,0.0186629297431446
CHOYP_LOC100180023.5.7.m.56825,0.000231559579808981
CHOYP_LOC100180543.1.1.m.4746,-0.016743971669117
CHOYP_LOC100180855.2.4.m.46097,0.00291921819943529
CHOYP_LOC100180883.1.1.m.46611,-0.000704211193155985
CHOYP_LOC100181095.1.1.m.8314,-0.003046826573729
CHOYP_LOC100181343.1.1.m.59214,-0.00253602427161167
CHOYP_LOC100181350.1.1.m.2782,-0.00529336253134912
CHOYP_LOC100181355.1.1.m.48652,0.014402107762447
CHOYP_LOC100181607.1.2.m.36709,0.00332856769070173
CHOYP_LOC100181826.1.1.m.16288,-0.000444053204738323
CHOYP_ARIP4.3.3.m.33366,0.0105497776088721
CHOYP_LOC100182131.1.1.m.26023,0.00452941963061648
CHOYP_LOC100182585.1.2.m.2597,0.000261685332189009
CHOYP_LOC100183353.1.1.m.54920,-0.0103888228715024
CHOYP_LOC100183682.1.1.m.61630,-0.0137471734335911
CHOYP_LOC100184451.1.8.m.30146,0.0017353581308998
CHOYP_LOC100184874.1.1.m.41851,-0.00229383700612753
CHOYP_LOC100185271.1.1.m.19210,0.0199536778914901
CHOYP_LOC100185431.1.1.m.43063,0.000268150785122451
CHOYP_LOC100185443.1.1.m.60976,-0.00361655447501265
CHOYP_LOC100185472.1.1.m.66178,-0.024348812697186
CHOYP_ARL6.1.2.m.29833,0.00489810661132535
CHOYP_LOC100186203.1.1.m.7875,-0.00486484595718133
CHOYP_LOC100186203.1.1.m.7876,0.00105541151285956
CHOYP_LOC100186733.1.1.m.7066,-0.00326089446330574
CHOYP_LOC100187348.1.1.m.29904,-0.0100371718766765
CHOYP_LOC100197130.2.2.m.39076,0.00373403588195508
CHOYP_LOC100199222.1.1.m.17588,-0.00446658627151384
CHOYP_LOC100199379.1.2.m.59875,0
CHOYP_LOC100199505.1.2.m.19947,0.00188961610776543
CHOYP_LOC100199980.1.2.m.51259,-0.00214492903634798
CHOYP_LOC100199980.2.2.m.62746,0.00338607544439179
CHOYP_ARL8A.1.1.m.12151,0.000635338445423167
CHOYP_LOC100201155.1.1.m.58066,-0.0131812478542333
CHOYP_LOC100202203.1.1.m.27309,-0.0112925478149255
CHOYP_LOC100205674.1.1.m.5810,0.0534299884311217
CHOYP_LOC100207121.5.9.m.48175,-0.00564711061871179
CHOYP_LOC100208544.1.1.m.54499,-0.000483868394371324
CHOYP_LOC100210536.1.1.m.18414,0.00572484766296205
CHOYP_LOC100212224.1.1.m.37724,0.00284927283231924
CHOYP_LOC100213558.1.1.m.45753,-0.000375886252878528
CHOYP_LOC100215454.1.1.m.40627,0.0291470961474797
CHOYP_LOC100218754.1.1.m.60778,0.00363977115199331
CHOYP_ARMC6.1.1.m.28786,-0.0031108236615496
CHOYP_LOC100222629.1.1.m.9927,0.00958228972527135
CHOYP_LOC100222774.1.1.m.56990,-0.0497239298409951
CHOYP_LOC100232691.1.1.m.15025,-0.0069355927921712
CHOYP_LOC100313559.1.1.m.47009,0.000772366403065266
CHOYP_LOC100313569.1.1.m.15201,0.000294849158097357
CHOYP_LOC100313573.1.1.m.62977,-0.0134867658096604
CHOYP_LOC100313589.1.1.m.31479,0.000261329288290407
CHOYP_LOC100313668.2.6.m.31487,0.004767577670697
CHOYP_LOC100313691.1.1.m.290,0.00308843728758509
CHOYP_LOC100329062.1.2.m.10150,-0.00101790918868123
CHOYP_ARMC9.1.1.m.57265,-0.00675495650635113
CHOYP_LOC100329078.1.3.m.26927,-6.07990491751764e-05
CHOYP_LOC100329078.2.3.m.30776,0.00183866181738752
CHOYP_LOC100346427.1.1.m.44592,0.0124709078711386
CHOYP_LOC100358262.2.3.m.28381,0.0134029890619184
CHOYP_LOC100366344.1.1.m.7458,-0.00587745456658343
CHOYP_LOC100366404.1.2.m.22137,-0.00692675747574054
CHOYP_LOC100366408.1.1.m.37601,-0.00401276659413585
CHOYP_LOC100366424.1.1.m.29609,-0.00131374199969071
CHOYP_LOC100366428.1.1.m.3740,9.83435710858255e-05
CHOYP_LOC100366442.1.4.m.6288,-3.41408424460606e-05
CHOYP_ARNT.1.1.m.19078,0.00532864721979348
CHOYP_LOC100366451.1.1.m.10500,-0.00362235928768745
CHOYP_LOC100366451.1.1.m.10501,0.000889121421178301
CHOYP_LOC100366455.1.3.m.13543,-0.00642821415453655
CHOYP_LOC100366455.3.3.m.28840,-0.0205834991318848
CHOYP_LOC100366482.1.1.m.9777,-0.00692404153343726
CHOYP_LOC100366488.1.1.m.56518,-0.00116799867912626
CHOYP_LOC100366489.1.1.m.21907,-4.08281478591213e-05
CHOYP_LOC100366518.5.6.m.43397,0.00446345674476118
CHOYP_LOC100366606.1.2.m.47289,-0.00830648116834729
CHOYP_LOC100366708.1.1.m.19335,-0.00147466772062582
CHOYP_ARP3.1.1.m.6867,0.00378267663975264
CHOYP_LOC100366728.1.1.m.57449,-0.0123927676045529
CHOYP_LOC100366734.1.1.m.47271,-0.00314384866533789
CHOYP_LOC100366754.1.1.m.49522,-0.000776505636913061
CHOYP_LOC100366763.1.1.m.53708,-0.00785663422792309
CHOYP_LOC100366766.1.1.m.56292,0.00315804105990257
CHOYP_LOC100366787.1.1.m.65795,0.00131902269383627
CHOYP_LOC100366862.1.1.m.62455,-0.000123917082449967
CHOYP_LOC100366906.1.1.m.61901,-0.000939552024773747
CHOYP_LOC100366927.1.1.m.6140,-0.00408475855502934
CHOYP_LOC100366932.1.1.m.36598,-0.00448643041068438
CHOYP_AAEL_AAEL003539.1.1.m.16619,0.00145695827786074
CHOYP_ARP8.1.1.m.10729,0.00725670443999975
